資料番号,書誌ID,書誌情報,請求記号,巻冊次等／表示用巻号／製本巻号,学年,利用者区分名称,所属名称,貸出カウンタ種別名称,返却カウンタ種別名称,和洋区分名称,所在名称,貸出日,貸出時刻,貸出曜日,返却日,返却時刻
00110400581,TT21765347,"The Swiss family Robinson / Johann Wyss ; retold by Madeleine du Vivier ; [book], [book and CD pack]. -- Pearson Education, 2008. -- vii, 58 p. : chiefly col. ill. ; 20 cm. -- (Penguin readers ; level 3).",KS61/19,[book and CD pack],01,学生,理学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReaders黄色,20160601,142920,4,20160622,161841
00110400415,TT21765246,"My fair lady / Alan Jay Lerner ; retold by Derek Strange ; [book], [book and CD pack]. -- Pearson Education, 2008, c1997. -- v, 49 p. : ill. ; 20 cm. -- (Penguin readers ; level 3).",KS61/19,[book and CD pack],01,学生,理学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReaders黄色,20160601,142924,4,20160617,161652
00040201653,TT21441437,"天体力学のパイオニアたち : カオスと安定性をめぐる人物史 / F.ディアク, P.ホームズ著 ; 吉田春夫訳 ; 上, 下. -- シュプリンガー・フェアラーク東京, 2004.9. -- 2冊 ; 19cm. -- (シュプリンガー数学クラブ ; 14-15).",MB41/09,上,01,学生,理学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,142937,4,20160606,152711
00140286672,TT20015070,"集合・位相入門 / 松坂和夫著. -- 岩波書店, 1968.6. -- x, 329p ; 22cm.",MA41/08,,02,学生,理学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,142945,4,20160622,160004
00110262792,TT21851349,"聖 (セイント) おにいさん / 中村光著 ; 1 - 7. -- 講談社, 2008.1-. -- 冊 ; 19cm. -- (モーニングKC ; 1662, 1720, 1784, 1842, 1906, 1962, 2026).",HK9/08,6,02,学生,農学部,本館メインカウンター,本館メインカウンター,和書,本館グローバルComic,20160601,143011,4,20160615,125212
00110273161,TT21851349,"聖 (セイント) おにいさん / 中村光著 ; 1 - 7. -- 講談社, 2008.1-. -- 冊 ; 19cm. -- (モーニングKC ; 1662, 1720, 1784, 1842, 1906, 1962, 2026).",HK9/08,7,02,学生,農学部,本館メインカウンター,本館メインカウンター,和書,本館グローバルComic,20160601,143040,4,20160615,125210
00130326280,TT21762169,"The black tulip / Alexandre Dumas ; retold by Florence Bell. -- Macmillan Heinemann ELT, 2005. -- 63 p. : ill. ; 20 cm. -- (Macmillan readers ; 2, beginner level).",KS61/18,,01,学生,工学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,143055,4,20160606,150259
00140302003,TT21765138,"Tales from Hans Andersen / retold by Karen Holmes ; [book], [book and CD pack], [book and MP3 audio CD]. -- Pearson Education, 2008. -- v, 38 p. : ill. (some col.) ; 20 cm. -- (Penguin readers ; level 2).",KS61/19,,01,学生,工学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,143100,4,20160606,150257
00100254478,TT21357566,"複素関数論 / 加藤昌英著. -- 朝倉書店, 2003.2. -- v, 221p : 挿図 ; 22cm. -- (講座数学の考え方 / 飯高茂 [ほか] 編集 ; 9).",MA115/0203,,02,学生,理学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,143124,4,20160607,215608
00050116348,TT21503300,"複素解析 / 高橋良雄, 内田伏一共著. -- 裳華房, 2005.1. -- v, 136p ; 21cm. -- (物理数学コース).",MA115/0173,,02,学生,理学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,143127,4,20160607,215609
01850280772,TT20085092,"ロシア革命 : レーニンからスターリンヘ,1917-1929年 / E. H. カー著 ; 塩川伸明訳. -- 岩波書店, 1979.3. -- 292, 16p ; 19cm. -- (岩波現代選書 ; 26).",GG833/010,,03,学生,文学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,143148,4,20160617,195735
00050132541,TT21494217,"ロシア革命1900-1927 / ロバート・サーヴィス [著] ; 中嶋毅訳. -- 岩波書店, 2005.6. -- xiv, 151, 31p : 挿図 ; 20cm. -- (ヨーロッパ史入門).",GG833/033,,03,学生,文学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,143157,4,20160617,195732
00040137311,TT21426016,"ロシア革命 / ニコラ・ヴェルト著 ; 遠藤ゆかり訳. -- 創元社, 2004.8. -- 170p : 挿図 ; 18cm. -- (「知の再発見」双書 ; 117).",GG833/029,,03,学生,文学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,143204,4,20160617,195733
01850221444,TT21130025,"ロシア史 / 岩間徹編. -- 新版. -- 山川出版社, 1979.12. -- xix, 573, 96p ; 19cm. -- (世界各国史 ; 4).",GA32/04,,03,学生,文学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,143213,4,20160617,195731
00920099261,TT20176878,"数理統計学の基礎 / 野田一雄, 宮岡悦良著. -- 共立出版, 1992.5. -- iv, 332p : 挿図 ; 22cm.",MA211/0414,,02,学生,経済学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,143406,4,20160610,125509
00070202721,TT21608603,"RとS-PLUSによる多変量解析 / B. エヴェリット著 ; 石田基広, 石田和枝, 掛井秀一訳. -- シュプリンガー・ジャパン, 2007.6. -- xii, 242p : 挿図 ; 24cm.",MA211/0937,,02,学生,経済学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,143411,4,20160602,083727
00100244254,TT21716049,"One-way ticket : short stories / Jennifer Bassett ; : [book with audio CD], : audio CD. -- Oxford University Press, c2008. -- 56 p. : ill. ; 20 cm. -- (Oxford bookworms library / series editor, Jennifer Bassett ; Human interest ; stage 1).",KS61/15,,01,学生,理学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,143513,4,20160615,143003
00110396360,TT21716077,"Under the moon / Rowena Akinyemi ; : [book with audio CD], : audio CD. -- Oxford University Press, c2008. -- 56 p. : ill. ; 20 cm. -- (Oxford bookworms library / series editor, Jennifer Bassett ; Fantasy & horror ; stage 1).",KS61/15,[book with audio CD],01,学生,理学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,143527,4,20160615,142959
00090047942,TT21717927,"シェイクスピアの時間論 / 川地美子著. -- 成美堂, 1998.12. -- ii, 238p ; 22cm.",KS131/0186,,D2,大学院生,文学部,本館メインカウンター,本館メインカウンター,和書,本館書庫,20160601,143537,4,20160613,175444
01820327404,TT20011469,"シェイクスピアの喜劇 / 日本シェイクスピア協会編. -- 研究社出版, 1982.10. -- v, 276p ; 20cm.",KS131/058,,D2,大学院生,文学部,本館メインカウンター,本館メインカウンター,和書,本館書庫,20160601,143539,4,20160613,175438
00930372606,TT20255138,"シェイクスピア全作品論 / 村上淑郎 [ほか] 編集. -- 研究社出版, 1992.9. -- v, 456p ; 20cm.",KS131/0104,,D2,大学院生,文学部,本館メインカウンター,本館メインカウンター,和書,本館書庫,20160601,143542,4,20160616,154706
00140264172,TT21967563,"Superbird / Brian Tomlinson ; [illustrations by Alastair Taylor] ; : pbk. -- Cambridge University Press, 1999. -- 48 p. : ill. ; 20 cm. -- (Cambridge English readers ; level 2).",KS61/16,,01,学生,理学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,143542,4,20160615,143358
01840688748,TT20243115,"シェイクスピア喜劇 : 構造と技法 / 中野里皓史〔著〕. -- 紀伊国屋書店, 1982.5. -- 183p ; 22cm.",KS131/053,,D2,大学院生,文学部,本館メインカウンター,本館メインカウンター,和書,本館書庫,20160601,143544,4,20160613,175441
00140254281,TT21762477,"The trumpet-major / Thomas Hardy ; retold by John Escott. -- Macmillan Heinemann ELT, 2005. -- 63 p. : ill. ; 20 cm. -- (Macmillan readers ; 2, beginner level).",KS61/18,,01,学生,理学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,143546,4,20160615,143359
00880100869,TT20037748,"シェイクスピア : 舞台と劇世界 / 浜田志保子著. -- 南雲堂, 1987. -- 290p ; 20cm. -- (演劇らいぶらり ; 4).",KS131/080,,D2,大学院生,文学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,143546,4,20160616,154707
00140350029,TT21766018,"X-Men 2 / based on the novelization by Ted Conner ; bsed on the screenplay by Dan Harris, Mike Dougherty and David Hayter ; [CD pack], [Text]. -- Scholastic, 2007. -- 56 p : ill. ; 20 cm. -- (Scholastic reader ; Level 2).",KS61/17,,01,学生,理学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReaders黄色,20160601,143550,4,20160615,143357
00140236891,TT21716105,"Dracula / Bram Stoker ; retold by Diane Mowat ; : pbk, : [book with audio CD], : audio CD. -- Oxford University Press, c2008. -- 56 p. : ill. ; 20 cm. -- (Oxford bookworms library / series editor, Jennifer Bassett ; Fantasy & horror ; stage 2).",KS61/15,,01,学生,理学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,143616,4,20160615,143002
00140244926,TT21716053,"The President's murderer / Jennifer Bassett ; : [book with audio CD], : audio CD. -- Oxford University Press, c2008. -- 56 p. : ill. ; 20 cm. -- (Oxford bookworms library / series editor, Jennifer Bassett ; Thriller & adventure ; stage 1).",KS61/15,,01,学生,理学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,143622,4,20160615,143000
00140237831,TT21716097,"Dead man's island / John Escott ; : [book with audio CD], : audio CD. -- Oxford University Press, c2008. -- 56 p. : ill. ; 20 cm. -- (Oxford bookworms library / series editor, Jennifer Bassett ; Thriller & adventure ; stage 2).",KS61/15,,01,学生,理学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,143627,4,20160615,143001
00130330991,TT21920190,"Don Quixote / Miguel de Cervantes ; retold by Nancy Taylor ; :[pbk], : pack. -- Pearson Education, 2008. -- iv, 60 p. : col. ill. ; 21 cm + 1 CD-ROM + 1 audio disc. -- (Penguin active reading ; Level 2).",KS61/47,,01,学生,理学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,143631,4,20160615,143005
